Category,Model,Year,Manufacturer,Range
Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,Lucid,520
Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,Lucid,516
Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,Lucid,481
Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,Lucid,471
Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,Lucid,469
Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,Lucid,451
Sedan/Wagon,Model S ,2022,Tesla,405
Sedan/Wagon,Model S Long Range,2021,Tesla,405
Sedan/Wagon,"Model S Plaid (19"" Wheels)",2022,Tesla,396
Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,387
SUV,Model X Long Range Plus,2021,Tesla,371
Sedan/Wagon,Model 3 (Long Range) AWD,2022,Tesla,353
Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,353
Sedan/Wagon,EQS450+,2022,Mercedes-Benz,350
Sedan/Wagon,"Model S Plaid (21"" Wheels)",2022,Tesla,348
SUV,Model X AWD,2022,Tesla,348
Sedan/Wagon,"Model S Plaid (21"" Wheels)",2021,Tesla,348
SUV,"Model X Performance (20"" Wheels)",2021,Tesla,341
Sedan/Wagon,EQS 580 4MATIC,2022,Mercedes-Benz,340
SUV,"Model X Plaid (20"" Wheels)",2022,Tesla,333
SUV,Model Y (Long Range) AWD,2022,Tesla,330
SUV,Model Y Long Range AWD,2021,Tesla,326
SUV,"iX xDrive50 (20"" Wheels) ",2022,BMW,324
Pickup,F150 Lightning 4WD Extended Range,2022,Ford,320
SUV,R1S,2022,Rivian ,316
SUV,"iX xDrive50 (22"" Wheels) ",2022,BMW,315
Sedan/Wagon,Model 3 Performance AWD,2022,Tesla,315
Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,315
SUV,Mustang Mach-E RWD California Route 1,2022,Ford,314
Pickup,R1T,2022,Rivian ,314
SUV,Mustang Mach-E AWD California Route 1,2022,Ford,312
SUV,"Model X Plaid (22"" Wheels)",2022,Tesla,311
Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,310
SUV,"iX xDrive50 (21"" Wheels) ",2022,BMW,305
Sedan/Wagon,Mustang Mach-E RWD California Route 1,2021,Ford,305
SUV,Mustang Mach-E RWD Extended,2022,Ford,303
SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,303
SUV,Model Y Performance AWD,2022,Tesla,303
SUV,Model Y Performance AWD,2021,Tesla,303
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,301
Pickup,F150 Lightning Platinum 4WD,2022,Ford,300
Sedan/Wagon,Mustang Mach-E RWD Extended,2021,Ford,300
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,282
SUV,Model Y AWD,2022,Tesla,279
SUV,Mustang Mach-E AWD Extended,2022,Ford,277
SUV,ID.4 Pro,2022,Volkswagen,275
Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,274
Sedan/Wagon,Model 3 RWD,2022,Tesla,272
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,270
SUV,Mustang Mach-E GT AWD,2022,Ford,270
Sedan/Wagon,Polestar 2 (Single Motor),2022,Polestar,270
Sedan/Wagon,Mustang Mach-E AWD Extended,2021,Ford,270
Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,270
Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,263
SUV,ID.4 Pro S,2022,Volkswagen,262
SUV,Mustang Mach-E GT Performance,2022,Ford,260
Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,260
SUV,ID.4 Pro,2021,Volkswagen,260
Sedan/Wagon,Bolt EV,2022,Chevrolet,259
Sedan/Wagon,Bolt EV,2021,Chevrolet,259
SUV,Kona Electric,2022,Hyundai,258
SUV,Kona Electric,2021,Hyundai,258
SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,256
SUV,ID.4 AWD Pro,2022,Volkswagen,251
SUV,ID.4 1st,2021,Volkswagen,250
SUV,ID.4 Pro S,2021,Volkswagen,250
Sedan/Wagon,Polestar 2 (Dual Motor),2022,Polestar,249
SUV,ID.4 AWD Pro,2021,Volkswagen,249
Sedan/Wagon,Bolt EUV,2022,Chevrolet,247
SUV,Mustang Mach-E RWD,2022,Ford,247
SUV,ID.4 AWD Pro S,2022,Volkswagen,245
SUV,Model Y RWD,2022,Tesla,244
SUV,Model Y Standard Range RWD,2021,Tesla,244
SUV,Q4 e-tron quattro,2022,Audi,241
SUV,Q4 e-tron Sportback quattro,2022,Audi,241
SUV,RS e-tron GT,2022,Audi,241
SUV,ID.4 Pro S AWD ,2021,Volkswagen,240
Sedan/Wagon,Niro Electric,2022,Kia,239
Sedan/Wagon,Niro Electric,2021,Kia,239
Sedan/Wagon,e-tron GT,2022,Audi,238
SUV,I-PACE EV400,2021,Jaguar,234
Sedan/Wagon,Polestar 2,2021,Polestar,233
Sedan/Wagon,EV6 RWD,2022,Kia,232
Pickup,F150 Lightning 4WD,2022,Ford,230
Sedan/Wagon,Mustang Mach-E RWD,2021,Ford,230
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,227
Sedan/Wagon,Taycan 4S Perf Battery Plus,2022,Porsche,227
Sedan/Wagon,Taycan 4S Perf Battery Plus,2021,Porsche,227
Sedan/Wagon,Leaf (62 kWh battery pack),2022,Nissan,226
SUV,C40 Recharge Twin,2022,Volvo,226
Sedan/Wagon,Leaf (62 kWh battery pack),2021,Nissan,226
Sedan/Wagon,Taycan Perf Battery Plus,2022,Porsche,225
Sedan/Wagon,Taycan Perf Battery Plus,2021,Porsche,225
SUV,Mustang Mach-E AWD,2022,Ford,224
SUV,XC40 Recharge Twin,2022,Volvo,223
SUV,e-tron quattro,2022,Audi,222
SUV,e-tron,2021,Audi,222
SUV,Ioniq 5 RWD,2022,Hyundai,220
SUV,e-tron Sportback quattro,2022,Audi,218
SUV,e-tron Sportback,2021,Audi,218
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2022,Nissan,215
Sedan/Wagon,Taycan 4 Cross Turismo,2022,Porsche,215
Sedan/Wagon,Taycan 4S Cross Turismo,2022,Porsche,215
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2021,Nissan,215
SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,212
Sedan/Wagon,Taycan Turbo,2022,Porsche,212
Sedan/Wagon,Taycan Turbo,2021,Porsche,212
Sedan/Wagon,Mustang Mach-E AWD,2021,Ford,211
SUV,"e-tron S (20"" wheels)",2022,Audi,208
SUV,XC40 Recharge,2021,Volvo,208
Sedan/Wagon,Taycan Turbo Cross Turismo,2022,Porsche,204
Sedan/Wagon,Taycan Turbo S Cross Turismo,2022,Porsche,202
Sedan/Wagon,Taycan Turbo S,2022,Porsche,201
Sedan/Wagon,Taycan Turbo S,2021,Porsche,201
Sedan/Wagon,Taycan Perf Battery,2022,Porsche,200
Sedan/Wagon,Taycan Perf Battery,2021,Porsche,200
Sedan/Wagon,Taycan 4S Perf Battery,2022,Porsche,199
Sedan/Wagon,Taycan 4S Perf Battery,2021,Porsche,199
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,185
SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,181
Sedan/Wagon,Ioniq Electric,2021,Hyundai,170
Sedan/Wagon,i3,2021,BMW,153
Sedan/Wagon,i3s,2021,BMW,153
Sedan/Wagon,Leaf (40 kWh battery pack),2022,Nissan,149
Sedan/Wagon,Leaf (40 kWh battery pack),2021,Nissan,149
Sedan/Wagon,Cooper SE Hardtop 2 door,2022,Mini,114
Sedan/Wagon,Cooper SE Hardtop 2 door,2021,Mini,110
Sedan/Wagon,MX-30,2022,Mazda,100
Sedan/Wagon,K27,2021,Kandi,59
